,Player,Team,2021-22 Salary
286,Chris Duarte,IND,"$3,749,520"
287,Alex Len,SAC,"$3,731,707"
288,Gabriel Deck,OKC,"$3,670,000"
289,Robert Williams,BOS,"$3,661,976"
290,Aaron Nesmith,BOS,"$3,631,200"
291,Moses Moody,GSW,"$3,562,080"
292,Boban Marjanović,DAL,"$3,500,000"
293,Mike Muscala,OKC,"$3,500,000"
294,Cole Anthony,ORL,"$3,449,400"
295,Corey Kispert,WAS,"$3,383,640"
296,Trey Burke,DAL,"$3,333,333"
297,Georges Niang,PHI,"$3,300,000"
298,Chuma Okeke,ORL,"$3,277,080"
299,Isaiah Stewart,DET,"$3,277,080"
300,Nickeil Alexander-Walker,NOP,"$3,261,480"
301,Alperen Şengün,HOU,"$3,214,680"
303,Jon Leuer,MIL,"$3,169,347"
304,Aleksej Pokusevski,OKC,"$3,113,160"
305,Goga Bitadze,IND,"$3,098,400"
308,Trey Murphy III,NOP,"$3,053,760"
309,Sterling Brown,DAL,"$3,000,000"
310,Michael Carter-Williams,ORL,"$3,000,000"
311,Frank Jackson,DET,"$3,000,000"
313,Josh Green,DAL,"$2,957,520"
314,Tre Mann,OKC,"$2,901,240"
315,Dewayne Dedmon,DET,"$5,256,308"
316,Andrew Nicholson,POR,"$2,844,429"
317,Matisse Thybulle,PHI,"$2,840,160"
318,Saddiq Bey,DET,"$2,824,320"
319,Kai Jones,CHO,"$2,770,560"
320,Brandon Clarke,MEM,"$2,726,880"
321,Precious Achiuwa,TOR,"$2,711,280"
322,Jalen Johnson,ATL,"$2,659,560"
323,E'Twaun Moore,ORL,"$2,641,691"
324,Udonis Haslem,MIA,"$2,641,691"
325,Markieff Morris,MIA,"$2,641,691"
330,Dwight Howard,LAL,"$2,641,691"
331,Wayne Ellington,LAL,"$2,641,691"
332,Trevor Ariza,LAL,"$2,641,691"
333,Carmelo Anthony,LAL,"$2,641,691"
334,Andre Iguodala,GSW,"$2,641,691"
335,Paul Millsap,BRK,"$2,641,691"
336,LaMarcus Aldridge,BRK,"$2,641,691"
338,James Johnson,BRK,"$2,641,691"
339,Enes Kanter,BOS,"$2,641,691"
340,Avery Bradley,LAL,"$2,641,691"
341,Ed Davis,CLE,"$2,641,691"
342,Grant Williams,BOS,"$2,617,800"
343,Tyrese Maxey,PHI,"$2,602,920"
344,Keon Johnson,LAC,"$2,553,120"
345,Darius Bazley,OKC,"$2,513,040"
346,Trey Lyles,DET,"$2,500,000"
347,Zeke Nnaji,DEN,"$2,498,760"
348,Isaiah Jackson,IND,"$2,451,120"
349,Ty Jerome,OKC,"$2,412,840"
352,Hassan Whiteside,UTA,"$2,401,537"
353,Andre Drummond,PHI,"$2,401,537"
354,Kent Bazemore,LAL,"$2,401,537"
355,Austin Rivers,DEN,"$2,401,537"
357,Tony Snell,POR,"$2,389,641"
358,Cody Zeller,POR,"$2,389,641"
359,Ben McLemore,POR,"$2,389,641"
360,Victor Oladipo,MIA,"$2,389,641"
362,Otto Porter,GSW,"$2,389,641"
363,Solomon Hill,ATL,"$2,389,641"
364,Leandro Bolmaro,MIN,"$2,353,320"
365,Usman Garuba,HOU,"$2,353,320"
366,Willy Hernangómez,NOP,"$2,327,220"
367,Nassir Little,POR,"$2,316,240"
368,R.J. Hampton,ORL,"$2,303,040"
369,Josh Christopher,HOU,"$2,259,240"
370,Monta Ellis,IND,"$2,245,400"
371,Elfrid Payton,PHO,"$2,239,544"
374,Rodney Hood,MIL,"$2,239,544"
375,Jabari Parker,BOS,"$2,239,544"
376,Dylan Windler,CLE,"$2,239,200"
377,Immanuel Quickley,NYK,"$2,210,640"
378,John Konchar,MEM,"$2,197,674"
379,Quentin Grimes,NYK,"$2,168,760"
380,Jordan Poole,GSW,"$2,161,440"
381,Bol Bol,DEN,"$2,161,152"
382,Keldon Johnson,SAS,"$2,145,720"
383,Payton Pritchard,BOS,"$2,137,440"
384,Kevin Porter Jr.,HOU,"$2,130,240"
385,Gary Clark,DEN,"$2,100,000"
386,Bones Hyland,DEN,"$2,096,880"
387,Raul Neto,WAS,"$2,089,448"
388,Frank Kaminsky,PHO,"$2,089,448"
389,Nemanja Bjelica,GSW,"$2,089,448"
390,Udoka Azubuike,UTA,"$2,075,880"
391,Jaden McDaniels,MIN,"$2,063,280"
